,uri,name
0,spotify:playlist:41vH364oE1cAKwLBrnDNZN,Forró das Antigas
1,spotify:playlist:1h4iBviNuoNuhgbYWqOUDc,MELHORES | Forró das Antigas I
2,spotify:playlist:3ozZgTy0FhXckpBJbYtU6i,FORRO DAS ANTIGAS | FORROZAO DAS ANTIGAS | FORRO ANTIGO | CALCINHA PRETA | NODA DE CAJU |
3,spotify:playlist:65znV4NafZeDxZrVAM1p1y,FORRÓ DAS ANTIGAS - AS MELHORES
4,spotify:playlist:0ojaReCUTR0HewNZaRsgIT,Forró das Antigas ♫
5,spotify:playlist:3LogWx8IZ19l05IZ2xvp74,FORRÓ 2021  | As Melhores | Zé Vaqueiro | Barões Da Pisadinha | Xand Avião | João Gomes 
6,spotify:playlist:2lA5uxwD41fTnwjz5wkgGy,Forró 2022
7,spotify:playlist:7mNwdW2F8x1aATqRQC61pn,FORRÓ E PISEIRO 2021 - 2022
8,spotify:playlist:4Tte0uBHzwgu8DPNJuvSxj,FORRÓ 2022 | AS MELHORES
9,spotify:playlist:4l0VDq31hKxqDcnkxtpD9P,Forró 2021 | Forrozão 2021 | Arrasta pé | Wesley Safadão | Dorgival | Investe Em Mim | Xand Avião
10,spotify:playlist:35hbF0ScyOoQG3vekaqO87,Inglés Pop_Rock 2010-2019
11,spotify:playlist:37i9dQZF1DXatFAWyNT5ad,Pop Rock
12,spotify:playlist:37i9dQZF1DX3YMp9n8fkNx,90s Pop Rock
13,spotify:playlist:37i9dQZF1DWTwnEm1IYyoj,Soft Pop Hits
14,spotify:playlist:37i9dQZF1DWV3VLITCZusq,Pop Rock Run
15,spotify:playlist:5bzNGg41UDuAdsIRzJ9RKi,Rock Brasil 80' 90' 00' 10'
16,spotify:playlist:5oQoNRYZkXhYp60e7vnv55,Rock Brasileiro - Rock Nacional
17,spotify:playlist:3UMtkQSC1VM6RZK0uLVUZM,Rock Brasil
18,spotify:playlist:6DsDnunJMW9E41MPlTLsfT,Rock Brasileiro anos 80 e 90
19,spotify:playlist:0n3ydoZmAIehk3Vu3NWLRa,"Pop Rock Brasil 80, 90 e 2000"
20,spotify:playlist:7Lw7HvOElzXwf043GXYPlK,MPB Antigas - As Melhores
21,spotify:playlist:1ficec1OELErUdjFdWUV1m,MPB Antigas - As Melhores
22,spotify:playlist:6G4O7YRLjTk4T4VPa4fDAM,"MPB Antigas - As Melhores e Mais Tocadas - Anos 80, 90, 2000 e Lançamentos"
23,spotify:playlist:6uRRvzsot6GjeplmIymloe,Mpb antigas anos 80
24,spotify:playlist:3Jnc8tKbg6B7nZy0K5lCem,MPB Clássicas - As Melhores
25,spotify:playlist:37i9dQZF1DWWQRwui0ExPn,lofi beats
26,spotify:playlist:37i9dQZF1EQnqst5TRi17F,Hip Hop Mix
27,spotify:playlist:0FAb3s3yJArWnikZbEOO9p,HIP HOP 2021 🔥 New Rap & Trap Hits
28,spotify:playlist:37i9dQZF1DWT5MrZnPU1zD,Hip Hop Controller
29,spotify:playlist:0VmmZTMTHafp1zdyHcBmsX,Best Hip Hop 2000's Hits
30,spotify:playlist:4nCGO34odyzt8bylYhFU7W,Iron Maiden Greatest Hits
31,spotify:playlist:37i9dQZF1DZ06evO3KIUZW,This Is Iron Maiden
32,spotify:playlist:2UvKcMkEbvicPLpus1dyKc,Iron Maiden - Official Playlist
33,spotify:playlist:7hblAmvkg72DoQNvQhOSjT,Iron Maiden - Best of the Beast
34,spotify:playlist:37i9dQZF1E4mkJn1DYa0mr,Iron Maiden Radio
35,spotify:playlist:7B5HbIq7ZBsjH5C4CaMySC,Racionais MC's - As Melhores
36,spotify:playlist:3LuN1VGeF7e2jwjlIdziAK,racionais as melhores | Trap | Rap 2022
37,spotify:playlist:37i9dQZF1DWXlS7Zretkig,This Is Racionais MC's
38,spotify:playlist:3J8TlKBdtjN7XOpdgGduC0,Racionais das antigas
39,spotify:playlist:77l30gOXezhuGPDqfRB5ZN,Racionais só as melhores 
40,spotify:playlist:7087xoFDv2zv9LehSxd06u,Charlie Brown Christmas
41,spotify:playlist:0Vw88h99wJHkdvStRsamBi,Charlie Brown As melhores
42,spotify:playlist:5pSahvsiARONLeiLaB3jAL,Charlie Brown Theme
43,spotify:playlist:37i9dQZF1DX29n3b5fqT2P,This Is Charlie Brown Jr.
44,spotify:playlist:0vJTeyYlFFVmzGdsP4ptrZ,Thanksgiving Charlie Brown
45,spotify:playlist:37i9dQZF1DX2OwDeeyTh0V,Samba Classics
46,spotify:playlist:37i9dQZF1DWX4CmhTadwuL,Coleção Samba
47,spotify:playlist:1mpj56eFDm7wtXnC9vRQ2a,BRAZIL CARNIVAL | SAMBA
48,spotify:playlist:5z1jMQRqoPdSRiW89G5XTG,Samba Café
49,spotify:playlist:37i9dQZF1DWTUHOvJwQIMp,Samba de Raiz
50,spotify:playlist:5s93fQRhlo4h36LHsGh4lt,pagode
51,spotify:playlist:37i9dQZF1DWVjNkaVEkL3X,Pagodeira
52,spotify:playlist:44rrWDJeyqOx4SVvUI3kZU,Pagode 2022 | Só Pagode Top! Mais Tocadas
53,spotify:playlist:1IRk0PEPM9r7I5j80ZbgLW,Pagode 🥁
54,spotify:playlist:37i9dQZF1DXchBFvKSUooB,Pagode das Antigas
55,spotify:playlist:6pGAnZEPvHdeG2jPRGQm9Q,Piseiro 2022 | Pisadinha 2022| Forró Atualizado | Parada Louca | Ameaça | Não vou te bloquear
56,spotify:playlist:37i9dQZF1DXcCxkJNppBVW,Pisadinha e Piseiro
57,spotify:playlist:0kDNlm6ECf5QDQXLvij1Zz,PISEIRO 2022 ATUALIZADO 🔥
58,spotify:playlist:5OqPRRs4LzPza5Mu6rCgNi,PISEIRO E PISADINHA 2022 | PISEIRO 2022 | PISADINHA 2022| FORRÓ ATUALIZADO 2022 | TOMA TOMA VAPO VAP
59,spotify:playlist:0mTaapLptQSG8g2BS3YQYG,PISEIRO 2022 As Melhores Pisadinhas
